,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
436,395629000,3.796,0.0,0.0,-2.845,0.0,0.0,0.0,-0.276,-0.548,0,-58024000,0.0,0.316
437,321783000,15.42,0.0338,0.62,2.5,6.81,0.383,0.555,0.0142,0.162,115619000,102233000,0.617,0.283
438,2886783000,50.27,0.0082,0.48,22.88,216.23,0.106,0.144,0.259,0.553,8541184000,1626035000,1.39,0.146
439,31847800,0.23,0.0,0.0,-0.762,0.076,0.0,-9.32,-0.582,-1.41,1325000,-7543000,0.0,-0.742
440,40630100,2.464,0.0,0.0,-2.905,0.0,0.0,0.0,-0.344,-0.775,0,0,0.0,0.0
441,60659000,0.038,0.0,0.0,-0.637,0.0,0.0,0.0,-0.683,-1.934,0,0,0.0,0.0
442,248017000,24.23,0.0106,0.15,1.95,7.58,0.256,0.366,0.01,0.0853,95194000,83609000,0.067,0.235
443,2753997000,4.34,0.0134,0.8,3.58,93.14,0.0394,0.0787,0.0381,0.651,4442800000,964400000,0.066,0.057
444,1192795000,7.78,0.0,0.0,0.59,18.97,0.0312,0.0587,0.0315,0.078,914463000,405349000,0.266,-0.014
445,235184000,2.457,0.0,0.0,-0.033,5.16,-0.0149,-0.0011,-0.0007,-0.0327,214411000,138065000,-0.785,0.034
446,66344000,12.43,0.0,0.0,-0.081,2.709,-0.0279,-0.0356,-0.0008,-0.0053,15828000,16573000,0.833,0.211
447,4533620000,27.88,0.0046,0.64,3.35,28.79,0.118,0.158,0.065,0.122,922960000,243174000,0.013,0.234
448,2384363000,0.191,0.0,0.0,-1.072,1.291,-0.811,-0.676,-0.245,-19.25,238440000,-58902000,0.0,0.85
449,856742000,16.98,0.108,1.36,1.31,3.293,0.396,0.728,0.0386,0.0767,212586000,197394000,-0.527,0.268
450,3452703000,26.36,0.0026,0.2,3.215,60.1,0.0536,0.13,0.069,14.92,2666212000,867970000,1.444,0.109
451,52767000,29.28,0.0358,1.0,3.45,81.7,0.0422,0.044,0.0318,12.3,151861000,28663000,-0.745,0.073
452,1156380000,9.48,0.112,0.76,0.164,2.796,0.06,0.161,0.0123,1.694,479237000,269536000,14.17,0.049
453,125068000,0.192,0.0,0.0,-1.818,1.039,-1.63,-1.348,-0.394,-8.89,35829000,23988000,0.0,0.701
454,71641000,3.664,0.0,0.0,-3.335,0.0,0.0,0.0,-0.267,-0.545,0,0,0.0,0.0
455,71518437000,89.22,0.0153,3.48,5.38,66.21,0.0943,0.14,0.0308,0.0668,18870000000,8614000000,0.122,-0.018
456,3299358000,10.38,0.0,0.0,-3.591,1.326,0.0,-1.719,-0.0788,-0.402,91952000,-180290000,0.0,19.71
457,37301500,0.717,0.0,0.0,-1.182,0.0,0.0,0.0,-1.741,-40.99,0,0,0.0,0.0
458,3893019000,28.14,0.0,0.0,2.5,122.57,0.0573,0.0872,0.0534,0.116,8414400000,1846400000,0.599,0.288
459,216584000,2.926,0.0,0.0,-0.845,1.83,-0.789,-0.576,-0.171,-0.487,17586800,-971644,0.0,2.271
460,445910000,18.91,0.0073,0.24,3.68,50.6,0.0738,0.0952,0.0723,0.214,632173000,134383000,1.87,0.209
461,447284000,18.91,0.008,0.24,3.68,50.6,0.0738,0.0952,0.0723,0.214,632173000,134383000,1.87,0.209
462,13612983000,22.97,0.0441,1.16,2.53,16.93,0.156,0.247,0.049,0.1,8275300000,3515300000,-0.647,-0.111
463,7555208000,25.73,0.0177,0.0,5.77,110.99,0.0528,0.0887,0.0461,0.24,14495000000,2372000000,0.128,-0.068
464,4051740000,17.28,0.0,0.0,1.34,33.15,0.0411,0.0752,0.0247,0.0713,1953621000,426893000,-0.284,0.174
465,878701000,48.67,0.0103,0.91,5.62,15.05,0.376,0.517,0.0134,0.115,115845000,110500000,-0.137,0.203
466,1983156000,48.17,0.0209,0.84,8.37,47.8,0.157,0.24,0.0189,0.18,2383000000,2189000000,-0.398,-0.022
467,126250000,11.69,0.0405,0.4,0.72,4.066,0.176,0.242,0.0057,0.061,53551000,50701000,1.059,0.197
468,28033900,0.959,0.0,0.0,-2.59,1.585,-0.446,-0.386,-0.19,-4.74,27698000,11358000,0.0,-0.003
469,1038485000,9.16,0.0557,2.32,1.647,10.2,0.207,0.449,0.0386,16.49,243764000,177597000,-0.129,0.014
470,607292000,22.47,0.0208,0.48,2.16,9.34,0.24,0.326,0.0095,0.103,201416000,181619000,0.22,0.38
471,1663172000,1.762,0.0102,0.04,0.32,4.742,0.0698,0.047,0.0286,0.201,1761173000,1739795000,-0.057,-0.12
472,267099000,12.49,0.0802,1.0,1.99,47.57,0.043,0.0571,0.0497,0.161,1030583000,435829000,-0.729,-0.097
473,234050000,0.343,0.0,0.0,1.83,0.327,-1.522,-1.72,-0.437,-0.929,76127000,-8247000,0.0,0.256
474,930969000,11.74,0.0562,1.9,0.53,30.56,-0.0192,0.0857,0.0285,-0.0484,2111558000,456620000,-0.99,0.026
